name,author,translator,publisher
ضاطاظا غوله,لاله  جعفری,,نشر افق
شرق - ۱۳۹۵ پنج شنبه ۲۵ آذر,,,روزنامه شرق
Madame Bovary,گوستاو فلوبر,,نشر معیار علم
این پی پی مال کیه؟,دارین لاند,سارا قربانی برزی,انتشارات فاطمی
آدمکش کور,مارگارت اتوود,سیدحبیب گوهری راد,انتشارات جمهوری
کاردستی آنا؛ سطح آسان,گروه مولفان,,انتشارات برف
ریشه های فرزانگی,هونگ یینگ مینگ,نسترن پاشایی,انتشارات فراروان
آمبر براون اسباب کشی می کند,بروس کاویل $ الیزابت لوی,فرمهر منجزی,نشر افق
بچه رزمری,آیرا لوین,محمد قائد,انتشارات کلاغ
جاناتان مرغ دریایی,ریچارد باخ,غلام‌حسین سالمی,انتشارات نگاه
پنه لوپه به جنگ می رود,اوریانا  فالاچی,فرشته اکبرپور,انتشارات نگاه
یک زن در دو چهره,میگل میئورا,باهره راسخ,انتشارات علمی و فرهنگی
آرمان - ۱۳۹۵ پنج شنبه ۲۵ آذر,,,روزنامه آرمان ملی
حالا!,تریسی کوردروی,آتوسا صالحی,نشر افق
هفته فضا,دن گاتمن,مونا قائمی,انتشارات گام
بیشتر!,تریسی کوردروی,آتوسا صالحی,نشر افق
داستان های عجیب و غریب برای بچه ها,جیمز ریردان,لاله  جعفری,انتشارات قدیانی
هرمیت در پاریس,ایتالو کالوینو,محمدحسین واقف,نشر چشمه
ملکه سرخ (کتاب سوم؛ قفس پادشاه),ویکتوریا اویارد,محمدصالح نورانی زاده,انتشارات کتابسرای تندیس
شهر دختران,الیزابت گیلبرت,نازنین احسانی طباطبایی,انتشارات جمهوری
دختر خوب,جازمین دارزنیک,محمدعلی مهمان‌نوازان,انتشارات مروارید
یادداشت های پیک ویک (دو جلدی),چارلز دیکنز,پرویز همتیان بروجنی,نشر چشمه
بر سنگ فرش خیس شانزه لیزه,مولود قضات,,نشر چشمه
جامعه‌ شناسی (۲) سوم متوسطه (نمونه سوالات امتحانی),عفت حسینی,,نشر گل‌واژه
ذن چیست؟,ع. پاشایی,,انتشارات فراروان
زبان زنده,منوچهر انور,,كارنامه
تاریخچه فلسفه زمان,آدریان باردون,حسن امیری آرا,نشر کرگدن
Kalbin Temizse Hikayen Mutlu Biter,هاکان منگوچ,,نشر معیار علم
انقلاب اجتماعی,کوان هریس,محمدرضا فدایی,انتشارات شیرازه
تاریخ ترسناک جهان,تری دیری,پیمان اسماعیلیان,نشر افق
سرگذشت نقاشی در ایران,پرویز براتی,,نشر افق
ابله,الیف باتومان,نیلوفر امن زاده,نشر برج
دنیای مطلوب من,سیدعلی قاسمی $ مهدی فدایی,,انتشارات سایه سخن
دین و زندگی (۳) سوم متوسطه (نمونه سوالات امتحانی),عیسی  زاده گرمی,,نشر گل‌واژه
بهترین سال زندگی تو,دارن هاردی,مرجان ایزدی,آرایان
جامعه شناسی نخبه پروری,مهرداد ناظری,,نشر علم
مرغ سحر,پروانه بهار,,جهان کتاب
فرهنگ توصیفی انجمن روانشناسی امریکا APA (جلد اول),انجمن روانشناسی آمریکا (APA),گروه مترجمان,نشر ارس
فرهنگ توصیفی انجمن روانشناسی امریکا APA (جلد دوم),انجمن روانشناسی آمریکا (APA),گروه مترجمان,نشر ارس
درآمدی بر علم تصمیم گیری,جیمز مارچ,ابراهیم افشار زنجانی,نشر نی
دانشکده هدف سازی,علیرضا بهشت آیین,,بهار سبز
استینک و یک شب خوابیدن کنار کوسه ها,مگان مک دونالد,ریحانه جعفری,نشر افق
روزگار سخت,ماریو  بارگاس یوسا,سعید متین,نشر برج
فرهنگ سمبل ها، اساطیر و فولکلور,گرترود جابز,محمدرضا بقاپور,انتشارات اختران
کتاب جمعه ـ شماره ۴,,,طاقچه
دنیای کودکان تیزهوش (جلدهای اول تا دوازدهم),فهیمه سیدناصری,,ذکر
قالیچه پرنده,افسانه موسوی گرمارودی,,انتشارات محراب قلم
Death Note (Vol. 1),تسوگومی اوبا,,نشر معیار علم
تفکر سریع و آهسته,دنیل کانمن,مهرداد رئوف,نشر مات
